spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
markings,clarity in understanding,following traffic rules,positive,202212_113.8927901_22.761324599999995.png
signals,sense of order,waiting for safe crossing,positive,202212_113.8927901_22.761324599999995.png
crossings,safety awareness,crossing the road,positive,202212_113.8927901_22.761324599999995.png
buildings,structured environment,engaging with surroundings,positive,202212_113.8927901_22.761324599999995.png
landscape,sense of disorganization,avoidance of the area,negative,202212_113.89288255776624_22.794407888931023.png
barriers,feeling of obstruction,hesitation to navigate,negative,202212_113.89288255776624_22.794407888931023.png
buildings,lack of integration,confusion about space,negative,202212_113.89288255776624_22.794407888931023.png
construction,detracted sense of order,distraction from surroundings,negative,202212_113.89288255776624_22.794407888931023.png
intersection,easy comprehension,navigate safely,positive,202212_113.8930679_22.540563199999998.png
signals,sense of order,follow traffic rules,positive,202212_113.8930679_22.540563199999998.png
buildings,moderate coherence,engage with environment,neutral,202212_113.8930679_22.540563199999998.png
road,degree of order,navigate safely,positive,202212_113.8930728_22.5107957.png
buildings,lack of unified organization,feel disoriented,negative,202212_113.8930728_22.5107957.png
vehicles,functional arrangement,utilize space practically,neutral,202212_113.8930728_22.5107957.png
landscaping,not aesthetically organized,ignore surroundings,negative,202212_113.8930728_22.5107957.png
roads,sense of order,easier navigation,positive,202212_113.8931113_22.538090200000003.png
markings,clarity,improved understanding of layout,positive,202212_113.8931113_22.538090200000003.png
signals,organization,following traffic rules,positive,202212_113.8931113_22.538090200000003.png
barriers,regulation,awareness of surroundings,positive,202212_113.8931113_22.538090200000003.png
signage,guidance,informed decision-making,positive,202212_113.8931113_22.538090200000003.png
buildings,uniformity,enhanced aesthetic appeal,positive,202212_113.8931113_22.538090200000003.png
intersection,sense of order,easy navigation,positive,202212_113.8943005_22.776301499999995.png
buildings,understanding of layout,efficient movement,positive,202212_113.8943005_22.776301499999995.png
traffic signals,clarity,following rules,positive,202212_113.8943005_22.776301499999995.png
road markings,guidance,safe driving,positive,202212_113.8943005_22.776301499999995.png
intersection,strong sense of order,easier navigation,positive,202212_113.8936749_22.546827800000003.png
markings,logical layout,following traffic rules,positive,202212_113.8936749_22.546827800000003.png
buildings,planned environment,increased comfort,positive,202212_113.8936749_22.546827800000003.png
pathways,understandable layout,confident walking,positive,202212_113.8936749_22.546827800000003.png
buildings,sense of order,navigate effectively,positive,202212_113.8970715_22.5647726.png
sidewalks,sense of safety,walk comfortably,positive,202212_113.8970715_22.5647726.png
greenery,aesthetic pleasure,enjoy outdoor spaces,positive,202212_113.8970715_22.5647726.png
traffic lanes,clarity in movement,drive with confidence,positive,202212_113.8970715_22.5647726.png
street,organized environment,navigate safely,positive,202212_113.8968186_22.5829807.png
buildings,structured layout,engage with commercial activity,positive,202212_113.8968186_22.5829807.png
sidewalks,sense of safety,walk comfortably,positive,202212_113.8968186_22.5829807.png
traffic,busy atmosphere,move quickly,neutral,202212_113.8968186_22.5829807.png
streetscape,degree of coherence,recognizing order,positive,202212_113.89762626150477_22.76805970185577.png
construction,visual disarray,diminishing harmony,negative,202212_113.89762626150477_22.76805970185577.png
structures,mixed visual appeal,confusion in perception,negative,202212_113.89762626150477_22.76805970185577.png
intersection,sense of order,navigate efficiently,positive,202212_113.8954994_22.5238619.png
traffic,predictability,follow traffic rules,positive,202212_113.8954994_22.5238619.png
architecture,organized space,feel secure,positive,202212_113.8954994_22.5238619.png
street,good coherence,easy navigation,positive,202212_113.8982409_22.550873.png
road,organized layout,increased understanding,positive,202212_113.8982409_22.550873.png
buildings,predictable arrangement,comfort in space,positive,202212_113.8982409_22.550873.png
greenery,well-planned environment,enhanced relaxation,positive,202212_113.8982409_22.550873.png
road,organized environment,navigate safely,positive,202212_113.89803890000002_22.472269599999997.png
trees,aesthetic appeal,enjoy surroundings,positive,202212_113.89803890000002_22.472269599999997.png
buildings,sense of order,engage with space,positive,202212_113.89803890000002_22.472269599999997.png
reflections,visual interest,observe details,positive,202212_113.89803890000002_22.472269599999997.png
buildings,sense of organization,encourages navigation,positive,202212_113.89919588637308_22.514262033985645.png
lanes,clear urban layout,promotes movement,positive,202212_113.89919588637308_22.514262033985645.png
sidewalks,sense of safety,increases walking,positive,202212_113.89919588637308_22.514262033985645.png
traffic,orderliness,facilitates commuting,positive,202212_113.89919588637308_22.514262033985645.png
bicycles,community engagement,encourages cycling,positive,202212_113.89919588637308_22.514262033985645.png
infrastructure,well-maintained environment,instills trust,positive,202212_113.89919588637308_22.514262033985645.png
road,sense of order,navigate easily,positive,202212_113.89926574258234_22.584803084582735.png
trees,feeling of structure,explore environment,positive,202212_113.89926574258234_22.584803084582735.png
fences,predictability,move confidently,positive,202212_113.89926574258234_22.584803084582735.png
infrastructure,organized scene,understand layout,positive,202212_113.89926574258234_22.584803084582735.png
street,degree of order,navigate safely,positive,202212_113.8993527_22.7867448.png
buildings,visual flow,attract attention,positive,202212_113.8993527_22.7867448.png
elements,visual complexity,feel overwhelmed,negative,202212_113.8993527_22.7867448.png
designs,lack of harmony,avoid interaction,negative,202212_113.8993527_22.7867448.png
roads,sense of order,easier navigation,positive,202212_113.8994872_22.4809686.png
sidewalks,sense of coherence,encouragement to walk,positive,202212_113.8994872_22.4809686.png
landscaping,aesthetic pleasure,increased time spent outdoors,positive,202212_113.8994872_22.4809686.png
buildings,planned environment,promotes social interaction,positive,202212_113.8994872_22.4809686.png
green spaces,relaxation,encouragement to gather,positive,202212_113.8994872_22.4809686.png
buildings,sense of order,easier navigation,positive,202212_113.90004392649917_22.540017152868153.png
barriers,sense of predictability,increased comfort,positive,202212_113.90004392649917_22.540017152868153.png
lanes,clear understanding,organized movement,positive,202212_113.90004392649917_22.540017152868153.png
markings,logical arrangement,efficient flow,positive,202212_113.90004392649917_22.540017152868153.png
street,sense of coherence,navigating confidently,positive,202212_113.9007474100415_22.77763015527308.png
lanes,predictability,following traffic rules,positive,202212_113.9007474100415_22.77763015527308.png
barriers,orderliness,staying within boundaries,positive,202212_113.9007474100415_22.77763015527308.png
greenery,aesthetic appeal,enjoying the environment,positive,202212_113.9007474100415_22.77763015527308.png
buildings,planned environment,engaging with surroundings,positive,202212_113.9007474100415_22.77763015527308.png
infrastructure,logical order,utilizing facilities,positive,202212_113.9007474100415_22.77763015527308.png
street,organized and clear,navigate easily,positive,202212_113.90181678152064_22.55362767441567.png
trees,natural and calming,enhance relaxation,positive,202212_113.90181678152064_22.55362767441567.png
buildings,disorganized,feel confusion,negative,202212_113.90181678152064_22.55362767441567.png
construction,distracting,avoid area,negative,202212_113.90181678152064_22.55362767441567.png
roads,sense of order,easier navigation,positive,202212_113.90203875985169_22.596490384445456.png
sidewalks,predictability,increased comfort,positive,202212_113.90203875985169_22.596490384445456.png
green areas,connection with nature,encouragement to relax,positive,202212_113.90203875985169_22.596490384445456.png
buildings,integration with environment,enhanced aesthetic appreciation,positive,202212_113.90203875985169_22.596490384445456.png
trees,visual harmony,promoting outdoor activities,positive,202212_113.90203875985169_22.596490384445456.png
vegetation,calming effect,encouraging social interactions,positive,202212_113.90203875985169_22.596490384445456.png
road,clear organization,easier navigation,positive,202212_113.90390698964444_22.774286045161404.png
signals,increased awareness,improved safety,positive,202212_113.90390698964444_22.774286045161404.png
buildings,sense of order,encouraged exploration,positive,202212_113.90390698964444_22.774286045161404.png
layout,sense of coherence,navigate effectively,positive,202212_113.90245330000002_22.580992999999996.png
markings,visual order,follow traffic rules,positive,202212_113.90245330000002_22.580992999999996.png
